iter	Logloss
0	0.6269609225
1	0.5680762876
2	0.5191667533
3	0.478416088
4	0.443517115
5	0.4154079713
6	0.3914049409
7	0.3683091757
8	0.3498046214
9	0.3324122374
10	0.318001907
11	0.306612784
12	0.2959492221
13	0.286296296
14	0.2776911297
15	0.2700932025
16	0.2632680086
17	0.2574728202
18	0.2511845959
19	0.2453264601
20	0.2402055068
21	0.2361309494
22	0.2321906033
23	0.2285411463
24	0.2243676919
25	0.2215517356
26	0.2185113462
27	0.2158404837
28	0.2131083701
29	0.2113182654
30	0.2090820943
31	0.2069977285
32	0.2053737938
33	0.2039174861
34	0.2022247504
35	0.2009475777
36	0.1995753824
37	0.1983479563
38	0.1969517362
39	0.195881866
40	0.1945397599
41	0.1932652373
42	0.1922109076
43	0.190914321
44	0.1898269702
45	0.1884788185
46	0.1871753622
47	0.1863540938
48	0.1854407403
49	0.1843870127
50	0.1836241499
51	0.1827938287
52	0.1818350421
53	0.1809774278
54	0.1802999788
55	0.1793062218
56	0.1783832551
57	0.1776751453
58	0.1769091684
59	0.1762404572
60	0.1755852502
61	0.1751335009
62	0.1743485516
63	0.1738130917
64	0.1728209643
65	0.1720895589
66	0.1713441856
67	0.1707502987
68	0.1700896402
69	0.1692785888
70	0.1685102066
71	0.1681947964
72	0.1678499713
73	0.1674468881
74	0.1670695187
75	0.1662634115
76	0.1658642066
77	0.165347642
78	0.165080353
79	0.1645546368
80	0.163998956
81	0.163521285
82	0.1630552964
83	0.162347386
84	0.1619293691
85	0.1614402535
86	0.1611862409
87	0.1607179647
88	0.160296769
89	0.1599459187
90	0.1594299788
91	0.158995833
92	0.1587897635
93	0.1583705493
94	0.1580050861
95	0.157685271
96	0.1572096193
97	0.1568180103
98	0.1561741884
99	0.1559919084
100	0.1557042095
101	0.1554559709
102	0.1550667011
103	0.154756015
104	0.1544171086
105	0.1542140474
106	0.1539102917
107	0.1534904531
108	0.1531621591
109	0.1526627019
110	0.1523549986
111	0.1521391522
112	0.1518021625
113	0.1512403967
114	0.1510031875
115	0.1507831856
116	0.150455247
117	0.1499826313
118	0.1495142288
119	0.1490403628
120	0.1487735598
121	0.1485777426
122	0.1482480929
123	0.147886209
124	0.1475779018
125	0.1473138513
126	0.1470165068
127	0.1465616968
128	0.1461998133
129	0.1458479377
130	0.1454931754
131	0.1452810225
132	0.14497763
133	0.144427444
134	0.1441484613
135	0.1436853953
136	0.1433212122
137	0.1429084959
138	0.1425489715
139	0.1423530781
140	0.1418788639
141	0.1416429823
142	0.1414648582
143	0.1412576342
144	0.1409966642
145	0.1407138538
146	0.1403191853
147	0.1399599543
148	0.139714306
149	0.1394410441
150	0.1393443534
151	0.1391543869
152	0.1388648828
153	0.1386466381
154	0.1383960266
155	0.1380860129
156	0.1380081682
157	0.1377577128
158	0.1374644837
159	0.1373495245
160	0.1370347154
161	0.1369570391
162	0.1366362899
163	0.1363482221
164	0.1360931377
165	0.1357226473
166	0.1353801513
167	0.1351551425
168	0.1348542818
169	0.1345830767
170	0.1343115581
171	0.1340550641
172	0.1337899674
173	0.1335552917
174	0.133372594
175	0.1331296509
176	0.1328585894
177	0.1327757078
178	0.132460816
179	0.1321910586
180	0.1319668284
181	0.1317668853
182	0.1315302471
183	0.1313219669
184	0.1311724772
185	0.1308997874
186	0.1306140158
187	0.1304340498
188	0.1301942034
189	0.1300198779
190	0.1297496156
191	0.1296844205
192	0.1294317373
193	0.1291959379
194	0.1289188922
195	0.1288216042
196	0.1285032988
197	0.1282616986
198	0.1279492427
199	0.1276324558
200	0.1273892797
201	0.1270845479
202	0.1268048087
203	0.1264992569
204	0.1262287391
205	0.1261552961
206	0.1259078399
207	0.1256406795
208	0.125394911
209	0.1251408793
210	0.1250474979
211	0.1249002517
212	0.1247636398
213	0.1246021396
214	0.1243854991
215	0.1242161938
216	0.1241401585
217	0.1237865575
218	0.1235789234
219	0.1235121843
220	0.1234596688
221	0.1231806776
222	0.1229578268
223	0.1227632907
224	0.1225603528
225	0.1224364586
226	0.1221846051
227	0.1219800761
228	0.1217224574
229	0.1215296641
230	0.1212475979
231	0.1211159506
232	0.1209864868
233	0.1207716845
234	0.1205725802
235	0.1203510937
236	0.1201409151
237	0.119992284
238	0.119921235
239	0.1197235914
240	0.119583864
241	0.1193561299
242	0.1191081092
243	0.1189638052
244	0.1188068715
245	0.1186370787
246	0.1184805526
247	0.1183440791
248	0.1180808832
249	0.11790691
250	0.1177675373
251	0.1177023323
252	0.1175018779
253	0.1172939829
254	0.1171067147
255	0.1169402607
256	0.1167480967
257	0.1165636138
258	0.1163962218
259	0.1162513645
260	0.116152235
261	0.116004904
262	0.115718521
263	0.1154933949
264	0.115333589
265	0.1152056941
266	0.1150563376
267	0.114942053
268	0.1147750126
269	0.1146370696
270	0.1144211588
271	0.1142870699
272	0.1141454829
273	0.1139915838
274	0.1138051392
275	0.1136516058
276	0.1134778442
277	0.1132732204
278	0.1130818542
279	0.1129535096
280	0.1127828876
281	0.1126292509
282	0.1124233947
283	0.1122647715
284	0.1121354497
285	0.1119403146
286	0.1118140731
287	0.1116622633
288	0.1115547809
289	0.1113879506
290	0.1112719415
291	0.111072478
292	0.110891082
293	0.1107088414
294	0.1105230932
295	0.1103667148
296	0.1102771519
297	0.1101798345
298	0.1099858821
299	0.1098949205
300	0.1097233078
301	0.1095365845
302	0.109370231
303	0.1092852063
304	0.1090917355
305	0.1088683038
306	0.1087237965
307	0.108631577
308	0.1084710095
309	0.1083944872
310	0.1083326411
311	0.1081571601
312	0.1080046914
313	0.1079247559
314	0.1077511609
315	0.1076078612
316	0.1073820466
317	0.1072110407
318	0.1070492043
319	0.1068810302
320	0.1067160805
321	0.1066090763
322	0.1063543685
323	0.1062463446
324	0.1060470265
325	0.1059748168
326	0.1057989624
327	0.1056271921
328	0.1055624986
329	0.1054092301
330	0.1052026679
331	0.1050858904
332	0.1048994188
333	0.1048120502
334	0.104672988
335	0.1045683047
336	0.1044507407
337	0.1043411099
338	0.1042888206
339	0.1042139525
340	0.1040502863
341	0.1039349632
342	0.1038375465
343	0.1038039039
344	0.1037424771
345	0.1036246664
346	0.1035500949
347	0.1034338517
348	0.103302377
349	0.1031772615
350	0.1030684326
351	0.1030359608
352	0.1028817539
353	0.1027383385
354	0.1025905227
355	0.102546738
356	0.1024497288
357	0.1023502688
358	0.1022575686
359	0.1021222689
360	0.1020611629
361	0.1019202253
362	0.1017859825
363	0.1016388449
364	0.1014815076
365	0.1013992861
366	0.101299365
367	0.1011931503
368	0.1011013725
369	0.1010738517
370	0.1010036462
371	0.1009023984
372	0.1008128786
373	0.1007387246
374	0.1007056715
375	0.1006765739
376	0.1005559716
377	0.100416779
378	0.1002895846
379	0.1001432088
380	0.1000917181
381	0.09995942306
382	0.09978756348
383	0.09962855777
384	0.09951323181
385	0.09942380222
386	0.09931918801
387	0.0992116655
388	0.09915673609
389	0.09912255947
390	0.09900794858
391	0.09891767641
392	0.09880718883
393	0.09866799068
394	0.09856764761
395	0.09845045287
396	0.09828902515
397	0.09822539612
398	0.09810043699
399	0.098018447
400	0.09788018945
401	0.09782682163
402	0.09776932596
403	0.09766373809
404	0.0975095417
405	0.09738310628
406	0.09727254846
407	0.09709955356
408	0.09697689372
409	0.09684112846
410	0.0967062117
411	0.09659812696
412	0.09648807778
413	0.0964089626
414	0.09628694855
415	0.09612545443
416	0.09595224956
417	0.09580797424
418	0.09578622369
419	0.09567390642
420	0.09553055895
421	0.09547605451
422	0.09532349996
423	0.09524972938
424	0.09514930651
425	0.09504016641
426	0.09491338561
427	0.09476732885
428	0.0946245205
429	0.0944758667
430	0.09437639138
431	0.09428838869
432	0.09418597541
433	0.09408582065
434	0.09405942691
435	0.09397168756
436	0.09388247596
437	0.09374488461
438	0.09363984201
439	0.09352780754
440	0.09346479109
441	0.09332455485
442	0.09326029634
443	0.09311855117
444	0.09299756227
445	0.09288157777
446	0.09276463189
447	0.0926959739
448	0.09261041925
449	0.0925895064
450	0.09249242903
451	0.09246109503
452	0.09242165753
453	0.09240147964
454	0.09231401575
455	0.09215655033
456	0.09207434748
457	0.09199681463
458	0.09192563651
459	0.09184178046
460	0.09178284398
461	0.09169781662
462	0.09161182475
463	0.09150402587
464	0.09142509451
465	0.09140498315
466	0.09133345731
467	0.09128114181
468	0.09119774763
469	0.0911049439
470	0.09100815419
471	0.09088830032
