iter	Passed	Remaining
0	34	34169
1	71	35781
2	100	33524
3	129	32357
4	157	31410
5	188	31233
6	217	30824
7	246	30577
8	274	30241
9	305	30244
10	335	30158
11	365	30129
12	396	30081
13	428	30155
14	457	30017
15	486	29930
16	516	29852
17	546	29817
18	575	29724
19	603	29589
20	633	29527
21	663	29476
22	690	29337
23	719	29256
24	748	29179
25	777	29121
26	803	28958
27	824	28623
28	840	28157
29	856	27688
30	868	27160
31	881	26673
32	894	26222
33	936	26609
34	961	26502
35	982	26320
36	997	25964
37	1012	25629
38	1029	25375
39	1044	25068
40	1058	24770
41	1075	24530
42	1091	24291
43	1107	24065
44	1123	23842
45	1140	23653
46	1155	23437
47	1171	23230
48	1186	23029
49	1201	22832
50	1216	22639
51	1231	22448
52	1247	22281
53	1260	22088
54	1275	21918
55	1293	21796
56	1308	21643
57	1324	21509
58	1340	21373
59	1354	21228
60	1371	21109
61	1386	20973
62	1402	20852
63	1416	20715
64	1432	20604
65	1447	20483
66	1461	20356
67	1476	20240
68	1492	20135
69	1507	20024
70	1522	19922
71	1537	19823
72	1553	19725
73	1569	19645
74	1584	19548
75	1602	19478
76	1618	19402
77	1635	19326
78	1649	19235
79	1666	19169
80	1684	19116
81	1701	19050
82	1718	18985
83	1736	18940
84	1750	18846
85	1766	18770
86	1781	18700
87	1798	18641
88	1815	18587
89	1832	18523
90	1847	18455
91	1864	18400
92	1880	18341
93	1897	18289
94	1914	18242
95	1930	18181
96	1946	18118
97	1962	18059
98	1978	18003
99	1992	17936
100	2009	17885
101	2024	17824
102	2039	17757
103	2053	17691
104	2068	17630
105	2083	17573
106	2101	17535
107	2116	17477
108	2131	17423
109	2147	17373
110	2163	17329
111	2179	17279
112	2196	17238
113	2213	17205
114	2234	17198
115	2263	17248
116	2294	17314
117	2326	17386
118	2352	17418
119	2383	17475
120	2411	17520
121	2440	17565
122	2470	17613
123	2499	17657
124	2528	17696
125	2556	17730
126	2584	17763
127	2613	17807
128	2642	17840
129	2670	17870
130	2699	17905
131	2728	17941
132	2758	17979
133	2786	18010
134	2816	18046
135	2847	18087
136	2876	18118
137	2905	18151
138	2936	18191
139	2965	18218
140	2994	18245
141	3025	18279
142	3053	18298
143	3083	18329
144	3112	18353
145	3142	18382
146	3173	18412
147	3202	18438
148	3229	18447
149	3258	18466
150	3289	18492
151	3316	18504
152	3344	18513
153	3373	18530
154	3402	18547
155	3430	18560
156	3457	18562
157	3486	18578
158	3516	18602
159	3546	18620
160	3576	18636
161	3604	18646
162	3631	18649
163	3659	18654
164	3680	18626
165	3696	18570
166	3710	18509
167	3725	18448
168	3739	18385
169	3752	18321
170	3765	18257
171	3778	18190
172	3793	18132
173	3808	18079
174	3823	18024
175	3838	17969
176	3851	17908
177	3864	17844
178	3879	17792
179	3894	17741
180	3910	17696
181	3925	17645
182	3941	17596
183	3957	17550
184	3972	17499
185	3988	17453
186	4003	17406
187	4020	17364
188	4037	17323
189	4052	17274
190	4066	17225
191	4079	17169
192	4096	17129
193	4112	17085
194	4127	17040
195	4141	16990
196	4156	16944
197	4172	16900
198	4188	16857
199	4203	16815
200	4219	16771
201	4237	16739
202	4253	16701
203	4269	16658
204	4286	16621
205	4300	16575
206	4316	16536
207	4333	16500
208	4349	16462
209	4365	16422
210	4379	16374
211	4393	16332
212	4408	16289
213	4423	16246
214	4439	16209
215	4454	16167
216	4468	16123
217	4486	16094
218	4502	16055
219	4517	16016
220	4531	15972
221	4549	15942
222	4564	15905
223	4581	15870
224	4596	15831
225	4612	15795
226	4628	15761
227	4644	15725
228	4658	15685
229	4673	15645
230	4688	15609
231	4703	15570
232	4717	15529
233	4733	15495
234	4750	15463
235	4765	15427
236	4780	15391
237	4796	15355
238	4811	15319
239	4827	15287
240	4842	15252
241	4859	15220
242	4874	15185
243	4891	15154
244	4905	15118
245	4920	15082
246	4936	15048
247	4951	15014
248	4968	14984
249	4983	14950
250	4999	14917
251	5013	14881
252	5030	14852
253	5045	14819
254	5062	14790
255	5078	14759
256	5093	14725
257	5109	14694
258	5126	14666
259	5142	14635
260	5156	14600
261	5173	14572
262	5189	14543
263	5204	14510
264	5218	14474
265	5233	14441
266	5248	14407
267	5274	14406
268	5303	14413
269	5330	14412
270	5361	14422
271	5391	14428
272	5420	14434
273	5449	14440
274	5480	14448
275	5511	14458
276	5542	14466
277	5572	14473
278	5605	14484
279	5636	14492
280	5664	14494
281	5696	14503
282	5724	14504
283	5753	14505
284	5785	14513
285	5814	14516
286	5842	14514
287	5870	14512
288	5901	14518
289	5930	14519
290	5958	14518
291	5989	14523
292	6017	14521
293	6049	14527
294	6079	14529
295	6110	14532
296	6138	14530
297	6167	14528
298	6198	14531
299	6225	14526
300	6256	14528
301	6284	14524
302	6315	14526
303	6344	14526
304	6373	14522
305	6401	14519
306	6432	14520
307	6460	14515
308	6490	14513
309	6516	14505
310	6545	14501
311	6573	14495
312	6602	14492
313	6632	14490
314	6661	14486
315	6694	14490
316	6712	14463
317	6727	14427
318	6741	14390
319	6755	14354
320	6770	14320
321	6783	14282
322	6796	14245
323	6810	14208
324	6824	14173
325	6838	14138
326	6853	14104
327	6868	14071
328	6881	14034
329	6895	14000
330	6910	13966
331	6924	13932
332	6938	13897
333	6953	13864
334	6968	13832
335	6985	13804
336	7001	13775
337	7016	13741
338	7030	13709
339	7044	13674
340	7059	13642
341	7075	13614
342	7091	13582
343	7104	13548
344	7120	13518
345	7134	13484
346	7150	13455
347	7166	13427
348	7181	13396
349	7197	13367
350	7212	13335
351	7225	13301
352	7240	13270
353	7255	13240
354	7270	13210
355	7287	13182
356	7302	13152
357	7317	13123
358	7332	13092
359	7349	13065
360	7365	13037
361	7381	13009
362	7398	12983
363	7416	12958
364	7432	12930
365	7447	12901
366	7464	12874
367	7481	12848
368	7513	12848
369	7529	12820
370	7542	12787
371	7554	12752
372	7568	12722
373	7581	12690
374	7596	12661
375	7612	12634
376	7626	12603
377	7643	12577
378	7659	12550
379	7675	12523
380	7691	12495
381	7706	12467
382	7722	12440
383	7736	12411
384	7750	12381
385	7765	12352
386	7780	12323
387	7796	12298
388	7812	12271
389	7826	12241
390	7843	12216
391	7860	12191
392	7876	12165
393	7892	12139
394	7909	12114
395	7925	12088
396	7942	12064
397	7958	12038
398	7975	12012
399	7991	11987
400	8008	11962
401	8024	11937
402	8040	11911
403	8057	11886
404	8073	11861
405	8090	11837
406	8107	11812
407	8122	11785
408	8148	11773
409	8178	11769
410	8209	11764
411	8238	11757
412	8268	11751
413	8294	11741
414	8322	11731
415	8351	11724
416	8379	11715
417	8410	11709
418	8436	11697
419	8467	11692
420	8497	11686
421	8522	11673
422	8552	11666
423	8580	11657
424	8610	11649
425	8639	11641
426	8670	11634
427	8698	11624
428	8727	11616
429	8757	11608
430	8786	11600
431	8815	11590
432	8844	11581
433	8872	11570
434	8901	11561
435	8930	11551
436	8960	11544
437	8990	11535
438	9019	11526
439	9049	11517
440	9079	11508
441	9111	11502
442	9139	11490
443	9166	11478
444	9195	11469
445	9225	11460
446	9254	11449
447	9281	11436
448	9311	11426
449	9337	11412
450	9365	11400
451	9393	11388
452	9424	11379
453	9450	11365
454	9479	11353
455	9508	11343
456	9538	11333
457	9565	11320
458	9595	11309
459	9625	11298
460	9653	11287
461	9684	11277
462	9710	11262
463	9736	11247
464	9751	11219
465	9764	11189
466	9776	11158
467	9789	11128
468	9802	11098
469	9818	11072
470	9832	11043
471	9847	11015
472	9861	10987
473	9874	10958
474	9888	10929
475	9901	10899
476	9916	10872
477	9930	10844
478	9945	10817
479	9958	10788
480	9972	10760
481	9988	10734
482	10003	10707
483	10018	10681
484	10033	10654
485	10048	10627
486	10063	10600
487	10081	10577
488	10097	10551
489	10112	10525
490	10127	10499
491	10144	10474
492	10161	10449
493	10178	10425
494	10193	10398
495	10207	10371
496	10222	10345
497	10237	10320
498	10252	10294
499	10268	10268
500	10282	10241
501	10296	10214
502	10312	10189
503	10329	10166
504	10346	10141
505	10363	10117
506	10378	10092
507	10394	10066
508	10409	10041
509	10426	10017
510	10442	9992
511	10458	9968
512	10473	9942
513	10489	9918
514	10539	9925
515	10558	9903
516	10573	9878
517	10588	9852
518	10601	9825
519	10614	9797
520	10628	9771
521	10643	9746
522	10657	9719
523	10671	9693
524	10685	9667
525	10698	9640
526	10712	9614
527	10726	9589
528	10740	9563
529	10755	9538
530	10770	9513
531	10785	9487
532	10802	9464
533	10816	9439
534	10830	9413
535	10845	9388
536	10859	9363
537	10873	9337
538	10888	9312
539	10905	9289
540	10921	9266
541	10936	9241
542	10951	9217
543	10969	9195
544	10986	9171
545	11000	9147
546	11017	9124
547	11032	9099
548	11048	9076
549	11068	9056
550	11098	9043
551	11127	9031
552	11156	9018
553	11184	9004
554	11213	8991
555	11241	8976
556	11267	8961
557	11300	8951
558	11328	8937
559	11358	8924
560	11386	8910
561	11416	8897
562	11444	8883
563	11473	8869
564	11500	8854
565	11531	8841
566	11560	8828
567	11588	8813
568	11617	8799
569	11647	8786
570	11677	8773
571	11707	8760
572	11735	8744
573	11762	8729
574	11792	8716
575	11822	8702
576	11852	8688
577	11881	8674
578	11911	8660
579	11941	8647
580	11972	8634
581	12002	8620
582	12030	8605
583	12060	8591
584	12091	8577
585	12120	8562
586	12146	8545
587	12175	8531
588	12205	8516
589	12232	8500
590	12260	8484
591	12288	8469
592	12315	8452
593	12342	8436
594	12372	8421
595	12401	8406
596	12428	8389
597	12458	8374
598	12487	8359
599	12515	8343
600	12530	8318
601	12542	8292
602	12555	8266
603	12568	8240
604	12582	8215
605	12596	8189
606	12609	8164
607	12622	8137
608	12634	8111
609	12649	8087
610	12664	8062
611	12678	8038
612	12692	8013
613	12707	7988
614	12721	7964
615	12735	7939
616	12749	7914
617	12764	7890
618	12779	7866
619	12795	7842
620	12811	7818
621	12825	7794
622	12840	7769
623	12854	7745
624	12868	7720
625	12882	7696
626	12898	7673
627	12915	7650
628	12931	7627
629	12947	7603
630	12962	7580
631	12979	7557
632	12995	7534
633	13011	7511
634	13027	7488
635	13043	7465
636	13060	7442
637	13076	7419
638	13092	7396
639	13109	7374
640	13125	7351
641	13141	7328
642	13158	7305
643	13173	7282
644	13188	7258
645	13203	7235
646	13216	7210
647	13231	7187
648	13246	7163
649	13260	7140
650	13275	7117
651	13293	7095
652	13308	7072
653	13323	7048
654	13339	7026
655	13355	7003
656	13371	6980
657	13387	6958
658	13404	6936
659	13420	6913
660	13435	6890
661	13451	6867
662	13464	6844
663	13478	6820
664	13493	6797
665	13509	6775
666	13524	6752
667	13542	6730
668	13556	6707
669	13571	6684
670	13587	6662
671	13604	6640
672	13619	6617
673	13636	6595
674	13652	6573
675	13668	6551
676	13685	6529
677	13702	6507
678	13718	6485
679	13734	6463
680	13749	6440
681	13766	6418
682	13782	6396
683	13797	6374
684	13813	6352
685	13830	6330
686	13846	6308
687	13861	6285
688	13876	6263
689	13891	6241
690	13906	6218
691	13922	6196
692	13940	6175
693	13954	6152
694	13971	6131
695	13986	6109
696	14000	6086
697	14015	6064
698	14032	6042
699	14048	6020
700	14065	5999
701	14080	5977
702	14105	5959
703	14133	5942
704	14160	5925
705	14191	5909
706	14219	5893
707	14249	5877
708	14279	5860
709	14310	5845
710	14339	5828
711	14368	5811
712	14396	5794
713	14423	5777
714	14449	5759
715	14480	5743
716	14510	5727
717	14537	5709
718	14566	5692
719	14594	5675
720	14624	5658
721	14651	5641
722	14678	5623
723	14706	5606
724	14735	5589
725	14761	5571
726	14789	5553
727	14817	5536
728	14846	5519
729	14876	5502
730	14907	5485
731	14935	5468
732	14963	5450
733	14994	5433
734	15024	5416
735	15056	5400
736	15086	5383
737	15116	5366
738	15146	5349
739	15174	5331
740	15202	5313
741	15232	5296
742	15260	5278
743	15287	5260
744	15318	5243
745	15346	5225
746	15372	5206
747	15399	5188
748	15426	5169
749	15454	5151
750	15482	5133
751	15511	5115
752	15539	5097
753	15568	5079
754	15598	5061
755	15626	5043
756	15654	5025
757	15682	5006
758	15713	4989
759	15742	4971
760	15770	4952
761	15794	4933
762	15810	4911
763	15825	4888
764	15840	4866
765	15853	4843
766	15866	4820
767	15881	4797
768	15893	4774
769	15908	4751
770	15924	4729
771	15939	4707
772	15952	4684
773	15965	4661
774	15981	4639
775	16030	4627
776	16050	4606
777	16064	4584
778	16078	4561
779	16090	4538
780	16102	4515
781	16116	4492
782	16131	4470
783	16145	4448
784	16161	4426
785	16178	4404
786	16192	4382
787	16208	4360
788	16224	4338
789	16242	4317
790	16257	4295
791	16270	4273
792	16285	4250
793	16299	4228
794	16314	4206
795	16329	4184
796	16347	4163
797	16362	4141
798	16376	4119
799	16390	4097
800	16407	4076
801	16423	4054
802	16441	4033
803	16456	4011
804	16473	3990
805	16486	3968
806	16501	3946
807	16518	3925
808	16533	3903
809	16548	3881
810	16563	3860
811	16579	3838
812	16593	3816
813	16609	3795
814	16624	3773
815	16640	3752
816	16656	3730
817	16673	3709
818	16687	3688
819	16705	3666
820	16721	3645
821	16737	3624
822	16753	3603
823	16769	3581
824	16784	3560
825	16801	3539
826	16818	3518
827	16835	3497
828	16851	3476
829	16868	3454
830	16884	3433
831	16902	3412
832	16918	3391
833	16934	3370
834	16951	3349
835	16966	3328
836	16984	3307
837	17000	3286
838	17018	3265
839	17048	3247
840	17077	3228
841	17106	3210
842	17133	3190
843	17163	3172
844	17191	3153
845	17220	3134
846	17250	3116
847	17276	3096
848	17304	3077
849	17333	3058
850	17363	3040
851	17389	3020
852	17417	3001
853	17446	2982
854	17476	2963
855	17506	2944
856	17536	2926
857	17564	2906
858	17593	2887
859	17620	2868
860	17650	2849
861	17677	2830
862	17706	2810
863	17735	2791
864	17762	2772
865	17790	2752
866	17818	2733
867	17847	2714
868	17875	2694
869	17906	2675
870	17936	2656
871	17963	2636
872	17994	2617
873	18021	2598
874	18050	2578
875	18079	2559
876	18109	2539
877	18137	2520
878	18165	2500
879	18193	2480
880	18221	2461
881	18248	2441
882	18279	2422
883	18307	2402
884	18338	2382
885	18363	2362
886	18392	2343
887	18422	2323
888	18452	2303
889	18473	2283
890	18487	2261
891	18501	2240
892	18514	2218
893	18529	2197
894	18542	2175
895	18553	2153
896	18566	2131
897	18582	2110
898	18597	2089
899	18612	2068
900	18628	2046
901	18642	2025
902	18657	2004
903	18673	1983
904	18689	1961
905	18704	1940
906	18718	1919
907	18734	1898
908	18748	1876
909	18763	1855
910	18778	1834
911	18794	1813
912	18810	1792
913	18826	1771
914	18841	1750
915	18857	1729
916	18875	1708
917	18890	1687
918	18906	1666
919	18922	1645
920	18935	1624
921	18949	1603
922	18964	1582
923	18980	1561
924	18995	1540
925	19011	1519
926	19028	1498
927	19042	1477
928	19057	1456
929	19073	1435
930	19089	1414
931	19105	1393
932	19122	1373
933	19136	1352
934	19153	1331
935	19169	1310
936	19185	1289
937	19199	1269
938	19213	1248
939	19228	1227
940	19245	1206
941	19260	1185
942	19275	1165
943	19290	1144
944	19305	1123
945	19323	1103
946	19341	1082
947	19355	1061
948	19371	1041
949	19386	1020
950	19401	999
951	19418	979
952	19434	958
953	19451	937
954	19468	917
955	19485	896
956	19501	876
957	19517	855
958	19533	835
959	19549	814
960	19566	794
961	19583	773
962	19598	753
963	19615	732
964	19632	712
965	19648	691
966	19665	671
967	19682	650
968	19698	630
969	19714	609
970	19729	589
971	19746	568
972	19763	548
973	19780	528
974	19796	507
975	19812	487
976	19828	466
977	19843	446
978	19859	426
979	19876	405
980	19891	385
981	19914	365
982	19944	344
983	19971	324
984	20001	304
985	20032	284
986	20058	264
987	20086	243
988	20115	223
989	20143	203
990	20171	183
991	20199	162
992	20229	142
993	20256	122
994	20285	101
995	20315	81
996	20344	61
997	20373	40
998	20403	20
999	20434	0
